Timestamp,In which course are you enrolled?,Course design [The assigned readings have helped me meet the Learning Targets.],Course design [The RStudio primers have helped me meet the Learning Targets.],Course design [The Team Activities have helped me meet the Learning Targets.],Course design [The Learning Journals have helped me meet the Learning Targets.],Course design [The online class sessions have helped me meet the Learning Targets.],Course design [The Projects have helped me meet the Learning Targets.],Course design [The Learning Target Checks have helped me meet the Learning Targets.],Course design [The Blackboard course site is organized in a way that helps me to effectively navigate the course materials.],Instructor [The instructor is genuinely interested in my understanding.],Instructor [The instructor answers questions effectively.],Instructor [The instructor is available for extra help when needed.],"What as been the best aspect of *this course* so far, and why?","If there was one thing about *this course* that you would change, what would it be, and why?",What is one thing that *you* can do differently to improve your learning? Explain how you plan to do this.,Optional: Provide any additional comments that you feel that were not addressed by the above items or that you wish to expand upon here.
2021-02-15T19:09:40Z,STA 518,Moderately agree,Strongly agree,Strongly agree,Moderately agree,Moderately agree,Moderately agree,Moderately agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I enjoy the activities. I also appreciate the professor's attitude. It makes me want to do well.,The information can be overwhelming and seems like a lot sometimes. It can be a challenge to know how best to bite off smaller pieces or know how best divide and conquer topics to help them stick.,"Practice will be best, and practicing with intentionality. I think the amount to know will seem less overwhelming as I spend more time with it.",I am enjoying the course and the challenge of it. I hope I can keep up!
2021-02-15T21:56:44Z,STA 518,Strongly agree,Strongly agree,Strongly agree,Slightly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Collaborating and bouncing ideas off of peers in small groups is helpful.,"The learning journal requirement can be difficult to achieve an A in. Since we have two preparations a week and three learning journals should be completed in a week to receive an A and get to 43 total, it can be difficult to come up with something to write in the third learning journal for the week without repeating information from the previous two of that week.",Practice more in order to not reference resources as often. I can do this by trying the practice problems from the book.,NA
2021-02-16T08:48:45Z,STA 518,Slightly disagree,Moderately agree,Moderately disagree,Strongly disagree,Moderately disagree,Slightly agree,Slightly agree,Strongly disagree,Slightly agree,Slightly agree,Slightly agree,The hands on exercises have been good for quickly learning the basics of ingesting and processing data.,The organization of the course seems inefficient and confusing.,I can try and adapt to the course structure.,There seems to be a lot of emphasis on being very specific with how work is structured and submitted. But frequently there are either errors or clarifications needed in the assignments. It's been frustrating and things seem to keep popping back up that need further attention. The quantity of the learning journal requirement seem excessively high.
2021-02-16T09:22:24Z,STA 518,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Moderately agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"How clear, well organized and efficient the processes in this class are. They have been very well thought out and all aid in learning.","I don't mind the learning journals but I think doing only 1-2 per week would yeild more thought out answers and more time spent on them. I find trying to do 3-4 a week is a little much, I just don't know what to say for some but find myself trying to do them so that I work towards the goal number.","I think that I could do the readings more carefully, I like the primers so I tend to skip by the reading a little fast.","This has been a great course so far, my suggestions are only trivial and it is great the way it is"
2021-02-16T11:21:23Z,STA 518,Moderately agree,Strongly agree,Moderately agree,Slightly agree,Slightly agree,Moderately agree,Moderately agree,Moderately agree,Strongly agree,Moderately agree,Moderately agree,The material covered so far in this course has been really interesting. I enjoy working with classmates on activities and learning with them,"While the course structure has been fun and engaging, I wish that some class time would be used for lecture format lessons. I feel like I'm learning everything from the primers and reading rather than from the instructor. I also wish that we could work through topics more quickly, and cover more material",I could probably take some initiative to go out and learn about material related to the class on my own.,NA
2021-02-16T11:25:06Z,STA 518,Strongly agree,Strongly agree,Moderately agree,Strongly agree,Strongly agree,Moderately agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"The general design of this course is different from most courses, which I think makes it unique.","I would like to be able to know how my overall grades are doing within the course, but I understand that that is not necessarily possible given the structure of the course.",I don't think there is anything I can do differently to be more effective in my learning right now.,NA
2021-02-16T14:15:05Z,STA 518,Slightly agree,Moderately agree,Moderately agree,Strongly disagree,Moderately agree,Moderately agree,Moderately agree,Moderately agree,Strongly agree,Strongly agree,Strongly agree,The projects,The Journals,practice more on my own instead of in class,NA
2021-02-16T14:49:10Z,STA 518,Strongly agree,Strongly agree,Strongly agree,Moderately agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Preparations: They have helped me to take notes early, so I can add to them while doing the activities. They also help introduce the material to me before working on harder problems.",GitHub steps and final window screenshots. There are still times when I do a pull request and I am unsure as to what needs to be pressed or when to stop. I am unsure if I need to go one step further or if I have gone far enough sometimes.,"Take my time in understanding what is going on from one step to the next. I am still caught up in looking at examples and utilizing them as templates. This causes me to have to think about the more difficult problems longer than I would like. I will start to think about what I need to accomplish when I am given a problem. Then think about which functions can be used to accomplish those goals. Then finally putting it together, and only looking at examples when I forget where things go.",This course is one of my favorites in the master's program. It challenges me to think with plenty of examples to help utilize the information we learn.
2021-02-16T15:15:22Z,STA 418,Slightly agree,Moderately agree,Slightly agree,Moderately disagree,Slightly disagree,Slightly disagree,Slightly agree,Moderately agree,Moderately agree,Moderately agree,Strongly agree,"How free and open the class feels, because it is nice to have that freedom to work at our own pace.","More time for actual lectures with mini activities to check our understanding, because sometimes it feels like group members get left behind by others who are more experienced in the class.",Look back at the book and primers after class to see where my understanding is at,NA
2021-02-16T15:23:10Z,STA 418,Moderately agree,Moderately agree,Slightly agree,Moderately disagree,Moderately agree,Slightly agree,Slightly agree,Strongly agree,Moderately agree,Moderately agree,Moderately agree,The RStudio primers are a great tool in preparing for the class session.,The amount of learning journals required is overwhelming. I think one a week would be preferable.,Spend more time on RStudio using different functions.,NA
2021-02-16T16:25:13Z,STA 418,Moderately agree,Moderately agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Moderately agree,Strongly agree,Strongly agree,Strongly agree,The class activities,lack of direct instruction on activities and concepts. When you are new to coding sometimes it is hard to know what questions to ask to get a better understanding.,Do more practice on my own time with practice datasets,NA
2021-02-16T17:30:07Z,STA 518,Slightly agree,Strongly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Moderately agree,Moderately agree,Moderately agree,Slightly agree,Moderately agree,I like how the learning target checks help me understand the material.,Have the class preps due at 3:30pm instead of 2pm.,Understand the primers better and redo them multiple times.,NA
2021-02-16T19:00:00Z,STA 418,Moderately agree,Moderately agree,Moderately agree,Slightly agree,Moderately agree,Moderately agree,Moderately agree,Moderately agree,Moderately agree,Moderately agree,Moderately agree,We get to work on the activities in class which makes it easier to get help quickly when questions come up.,I'd rather be in person because I have a hard time focusing on my classes when I'm on campus than I do when taking classes at home.,"Try to figure out the best way to lower distractions, and maybe try being in class somewhere other than my room.",NA
2021-02-16T19:37:13Z,STA 518,Slightly agree,Slightly agree,Moderately disagree,Moderately disagree,Moderately disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I really like the combined reading and primer assignments (the preparations). They're where I learn the most.,I hate the group activities during class time! My connection is terrible and my group members rush to complete the activities during class time. Both of these things combined leave me in the dust.,I need to be more organized and pay closer attention. I am working with a counselor to address the obstacles that get in the way.,"It was hard for me to assess how the materials provided have helped me meet the learning targets as I have not yet completed any of the learning target checks, so I have to assess for myself how well I think I can perform the learning targets..."
2021-02-16T19:59:46Z,STA 418,Strongly disagree,Strongly disagree,Strongly disagree,Slightly disagree,Moderately disagree,Moderately disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,"The team-based learning methodology is nice, once one gets used to it.  It's nice to leverage the strength of others, especially considering that tasks can be coded differently to arrive at the same outcome.  It's nice to share ideas to benefit from seeing how others might solve the same problem.","Learning Journals - Although this is a tough one for me.  I really think they can be beneficial, I also often struggle with what to make them about and honestly am more doing them to check a box than anything else.  It's also been hard for me to engage with the GitHub community board.","I think for me, the biggest thing has been time management.  I really enjoy the content, but I'm struggling trying to get used to my new life with a newborn, while working full time, etc.  I feel like I should have it dialed in the week after the class has ended.  I jest - but I'm trying to make sure I engage with the material every day, if even in small amounts, and that goes for both of my classes.  It's far easier to find a half an hour here and there than it is to find 4 hours on the weekend to cram a week's worth of material in.  It's just a matter of making sure I stick to it at this point.","I think, naturally there are a lot of challenges that come into play with the pandemic environment we find ourselves in.  Having taken a team-based learning class before, I really think there is a HUGE benefit to being in person.  I understand that we just have to adjust, but I also appreciate how much work that can be to others, and myself of course."
2021-02-16T22:39:52Z,STA 418,Strongly agree,Moderately agree,Strongly agree,Moderately disagree,Strongly agree,Moderately agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"I think the structure of this class has been very helpful. I like how the preparations (readings/primers) allow us to read and practice some of the topics in a place that provides instant feedback before class. Then, I think the group projects are very helpful because it provides us another opportunity to work on the material we just learned and have discussions with our group members.","I wish there was a bit more time dedicated to going over the material as a whole class at the beginning of lecture periods. I think that it would be helpful to have an open dialogue specifically about the topics of the days class period, even if it was a brief overview.",I think the biggest thing I can do to improve my learning is utilizing the community github page to ask questions and get help on some topics that are still a bit confusing for me. I also need to utilize my private learning journal more often. I'll plan to do this by setting aside specific time before and after class periods to focus on writing out what I learned and what I'm still struggling with and reach out for help.,NA
2021-02-17T01:38:28Z,STA 518,Strongly disagree,Strongly disagree,Moderately disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Moderately disagree,Strongly disagree,Slightly disagree,Strongly disagree,Hands on and Khan Academy style flipping the classroom. Makes eventual proficiency highest priority.,Lots of walls of text for so only much return. Parse the fat. Video recordings and other information compression techniques.,Become more dependent on spaced repetition learning. Accomplish this by increasing frequency of learning journals to meet quota.,NA
